video_id,title,description,channel,published_at,duration,views,likes,comments,channel_id,category_id,language
XRvKoVcRphs,Le grand fameux Fuji-san #japon #fujisan #tokyo #japan #shinkansen,,Fafaboy,2024-06-04T12:09:51Z,PT16S,163,10,2,UCKkNgQY72aDT34d1bP7YjfQ,19,fr
9blzS9Glsps,On continue l’ouverture des 11 boosters SHURIKARD de Cyprien ! (Ép. 2) #cyprien #shurikard #shorts,,Pikachuchu13,2026-01-19T07:59:41Z,PT29S,905,6,0,UCyYrJpBEBhK4XJxc5ULPI1Q,20,fr
FsOJd8DxBIs,25 janvier 2026,,Cyprien Ilunga ,2026-01-25T10:55:45Z,PT16S,2,1,0,UCLMnqSIMiAQ6iUMMlMAOnVg,22,es
Pejcc39XwpY,Cyprien dégoûté du démarrage de sa plus grosse vidéo 👉 On vous explique,,"Interlude, la chaîne secondaire",2022-12-27T17:34:24Z,PT34S,110655,2577,82,UC6hljYAfglFVYlwAMYcabgg,24,fr
a8FRlZ9akYo,Vibrant hommage aux illustres  disparus de l' épopée 2002...,,Océan24tv,2026-01-23T04:26:13Z,PT16S,3953,151,5,UCvcmX1OXeItSgoTjimRpP1g,24,en
U6yYkLF1pVU,富士山絶景!「恋の通訳､できますか?｣江の島ロケ地へ #韓流ドラマ #netflix #ロケ地巡り #canthislovebetranslated #恋の通訳できますか,,海街散歩【ゆるり湘南散歩】,2026-01-22T13:21:57Z,PT1M1S,1956,9,0,UCi_P7rASWNRmbdAe1QZ0Ofw,19,ja
W7_662GN1dk,正月静岡旅の一コマ。#富士山 #静岡 #shizuoka #fujisan #フジファブリック #沼津 #明けましておめでとうございます #正月 #キャンピングカーの旅 #景色 #beautiful,,親バカ日本代表チャンネル(OYABAKA_JAPAN),2025-01-08T15:20:45Z,PT16S,1198,8,0,UCHc8VbgG9Ltxr9QUQB1WqDA,19,ja
Sg_tGpO1vM4,#fujisan #kawaguchiko #งานวิ่ง #เที่ยวญี่ปุ่น #ฟูจิ #มาราธอน #วิ่งมาราธอน,ฟูจิมาราธอนปีนี้จัดขึ้นในวันที่ 24 พ.ย.2567 เป็นหนึ่งในสนามวิ่งที่สวยงามที่สุด #ฟูจิ #งานวิ่ง #มาราธอน #fujimarathon2024 #เที่ยวญี่ปุ่น,AMMAI Channel,2024-12-04T09:27:41Z,PT33S,666,0,0,UCZJTEjj1ml_V5udWUmvoN-Q,19,th
9A9lq_EF-k4,Wakutama-ike pond on the east side of Fujisan Hongū Sengen Taisha Shrine is fed by Mount Fuji snow,"This red bridge crosses sacred water flowing straight from Mount Fuji… and it never freezes, no matter how cold it gets.

📌 Save this for your Japan travel plans

In my quest to find off the beaten path” views of Mount Fuji, I stumble upon this shrine and this magical pond. 

On the east side of Fujisan Hongū Sengen Taisha Shrine you find this pond believed to have sacred waters.

The Wakutama-ike pond is fed by meltwater that seeps through Mount Fuji’s lava rocks. About 200,000 tons every single day. The water stays 14°C all year and never freezes. No matter how cold it gets in the Winter.

It’s so pure it was chosen as one of the 100 Best Waters of the Heisei Era.

This is 👇

📍Wakutama-ike Pond at Fujisan Hongū Sengen Taisha located at the foot of Mount Fuji in Fujinomiya, Shizuoka, Japan

✅ Travel Info:

🎟️ The Shrine and pond are Free to enter. 

🚂 About 10 minutes’ walk from JR Fujinomiya Train Station. 

⏰ I visited early morning and got mirror-clear reflections in the water, the light was beautiful and  Mount Fuji across the pond was starting to clear out.

This place is proof that even volcanoes can create outstanding beauty.

#beautifuldestinations #japan #mountfuji #shrine #bridge",More Legs Room,2025-10-30T15:39:46Z,PT12S,1401,21,0,UC_sjOJmRiRdPBz5X9XeupNQ,22,en
9yjqVvkG5Sw,Brice refait Cyprien 🤣 😂 | Brice de Nice #film #cinema #comedie #humour #fr #brice #r,,Top100comedy,2026-01-22T17:00:15Z,PT56S,116440,1929,34,UC7SqPCTzZSo2CkCMgPmeyaA,1,fr
aQLh6lY0dVI,Cyprien revient sur sa nouvelle BD,"Pré-commande avec des packs exclusifs ici : https://lepireguide.com/
#cyprienlive #shorts #twitchfr #twitch #humour #cyprien",L'autre chaîne de Cyprien,2025-06-06T17:30:00Z,PT1M27S,22750,942,7,UCi7MkdJLwvV99438YeUhZeg,24,fr
8I7Orgz_Oi8,Cyprien a changé le détail d'une vidéo qu'il a fait y'a 10 ans 🧐 ! #shortsvideo #cyprien,"Salut , dans la vidéo d'aujourd'hui, on parle de la vidéo X de Cyprien ! 
N'oubliez pas de liker, partager et de vous abonner pour plus de contenu comme celui-ci. À tout de suite dans une prochaine vidéo !",Maxime Click,2023-08-01T19:47:40Z,PT52S,3031097,194867,424,UCxxSRzlXMLeaDTUx5rqfEcA,23,en-US
BB4EHWq8h-8,Mount fuji,"Fuji #youtubeshorts #travelshorts #viral
#travel #wanderlust #explore
#paristravel #shorts #ytshorts
#adventure #backpacking #solotravel #luxurytravel
#nature #mountains #beachlife #citylife
#viral #trending #explorepage #fyp #ytshorts
#shortsviral #viralvideo #contentcreator
#travel #travelvlog #travelreels #travelshorts #wanderlust
#explore #travelgram #instatravel #worldtravel
#youtubeshorts #shorts #shortvideo #viralshorts #travelshorts



#YouTubeShorts #ShortsMonetization #MakeMoneyOnShorts #ShortsRevenue #EarnFromShorts #YouTubeShortsTips #MonetizeShorts #ShortsStrategy #YouTubeEarnings #ShortsIncome 






#PassiveIncomeYouTube #ShortsGrowth #ShortsSuccess #ShortsVideoIdeas #YouTubeShorts2026 #ShortsMoneyTips #ShortsCreatorTips #ShortsAlgorithm #ShortsBonus #YouTubeMoneyTips #ShortsTutorial #ShortsForBeginners #ShortsStepByStep #ShortsContentIdeas #ShortsRevenueSecrets",Ajetkulet TV,2026-01-22T12:44:15Z,PT10S,2,0,0,UCb3KxbDlR0JM1z53pnh-cpA,19,zxx
HGQISCSbPUU,CÁC ĐỊA ĐIỂM CHECKIN NÚI PHÚ SĨ NHƯ NGƯỜI BẢN ĐỊA #dinhatcungnham #travel #fujisan,,Đi Nhật Cùng Nhâm,2025-12-29T15:02:40Z,PT2M34S,701,7,0,UCuWFIsuMF2KRrJRXIj7BUsQ,22,vi
dWiATvz-9Is,A Strange Sound in Mount Fuji…,"I heard a strange sound in a mystery forest at the foot of Mount Fuji.
I got off the blue sightseeing bus and decided to walk inside. #japantravel #japanesetravel #fuji #autumninjapan",Hoang Yen - Smart budget travel,2026-01-22T14:42:36Z,PT49S,565,5,1,UCc6JM6YJrWd0kRxo48yvrnw,24,en
R7QbJ8kSd4I,Cyprien nous parle de sa nouvelle BD,"Vous voulez l'analyse aguerrie de la société japonaise par un expert qualifié vivant en asie depuis plusieurs décennies ? Vous cherchez des adresses authentiques avec les horaires d'ouverture en fonction de la saison ? Alors vous vous êtes TROMPÉ DE LIVRE, reposez-le sur son étagère tout de suite. Je vous propose à la place une bande dessinée avec des analyses foireuses et des anecdotes gênantes sur un pays qui me fascine toujours plus après chaque voyage. Le pire guide du Japon est comme un journal de bord de mes nombreux...

Cyprien nous raconte sa passion pour le japon et comment il a créer sa nouvelle BD ""Le Pire Guide du Japon"".

Retrouve l'oeuvre directement sur ton pass culture pour découvrir sa bande dessinée",pass Culture,2026-01-22T15:37:02Z,PT4M18S,44,7,0,UCXiIUAEfUoKRIq6U8HuttCA,24,fr-FR
hyCZOaVx90M,12 Coups de Midi Spoiler Etoile Mystérieuse   Cyprien l'a trouvé avant la fin des cases,,CHASSEUR 2 NEWS,2025-12-06T09:56:26Z,PT1M42S,2221,25,4,UCjM1MSCmrYf7BdH4RnxLQZw,24,fr
GJfXY7mb3WE,12 Coups de Midi Cyprien a t il triché pour trouver Rafael Nadal dans l'Etoile Mystérieuse mon avis,,CHASSEUR 2 NEWS,2025-12-19T13:39:39Z,PT2M28S,8031,61,72,UCjM1MSCmrYf7BdH4RnxLQZw,24,fr
U0USqLsYxrw,The Majestic FujiSan🗻#shorts #shortvideo #yt #mountfuji #fujisan #mtfuji #japan #shortsdaily #vlog,,Tiny Tales of PC,2025-07-16T13:34:39Z,PT35S,773,20,3,UC1bH9RakWy_J7te8F-jDA9w,22,bn
pYL8isOI3U8,Mon double IA a des bugs je crois,,Cyprien,2024-04-15T14:59:35Z,PT19S,5473520,228602,955,UCyWqModMQlbIo8274Wh_ZsQ,23,fr
tQ2LCiyWpjc,Mt. Fuji nature & glamping with my dog,"Discover 7 of the best nature spots around Mt Fuji to visit with your dog! 🐾 While we filmed this during the stunning autumn season, these locations offer breathtaking views, glamping, and peaceful walks all year round.
If you are looking for a quiet, stress-free escape from city life, join us on this ""Slow Life"" road trip through Yamanashi Prefecture. From waterfalls to hidden villages, we found the perfect places for a pet-friendly getaway.
📍 In this video:
We spent three relaxing days exploring dog-friendly spots with our dachshund, Momo-chan. Whether you are planning a Japan road trip or just want to enjoy the scenery, this guide covers:

Mt Fuji Views: Iconic spots and hidden gems near the mountain.
Nature Walks: The majestic Shiraito Waterfall, serene lakes, and forest corridors.
Glamping & Culture: The historic Saiko Iyashi-no-Sato Nenba Village and cozy stays.
Dog-Friendly Tips: Almost all these locations welcome leashed dogs!

🕒 Timestamps:
0:00 Intro & The ""Slow Life"" Route
0:48 Saruhashi Bridge (Quiet River Views)
4:03 Shiraito Waterfall (Fujiyoshida Hidden Gem)
7:15 Red Leaves Light-Up (Magical Evenings)
10:15 Tenku no Torii (Peaceful Fuji View)
12:12 Momiji Corridor (Forest Stroll)
14:55 Minami Inaga Lake (Swans & Serene Scenery)
20:57 Saiko Iyashi-no-Sato (Historic Village)
👇 Let’s Chat!
Which of these spots would be first on your list? A quiet lake morning or the historic village? Let me know in the comments!
🔔 Subscribe for more Japan Slow Life & Dog Travels: https://www.youtube.com/@togotabi

#JapanTravel #MtFuji #DogFriendlyJapan #Yamanashi #SlowLife #Dachshund #JapanVlog #TravelJapan #NatureLovers #RoadTripJapan",TogoTabi | Slow Life in Japan,2026-01-02T11:45:14Z,PT24M22S,307,26,3,UCvXuxM3eaYxQ5RPFMc2M3gA,15,en
mPs8rkx5WfE,ปีนฟูจิครั้งแรกคนเดียว 🗻🌅 #fujisan #富士山 #登山 #ปีนเขา,,SURUSURU CH,2024-08-27T08:17:29Z,PT17S,709,15,0,UCc1-3a8y9BVPHY7fQkWJy4A,24,th
rn68bA0LhmM,Le temps passe trop vite 😓 #shorts #cyprien #école #nostalgie,,michelPTDR Shorts ,2025-08-28T15:30:37Z,PT16S,32433,585,6,UC0xloXsY4GN5ynFRlbQ_DCw,22,fr
jvGairyOO0I,CYPRIEN fait un don de 10 000€,,KADCUT,2025-09-06T21:40:19Z,PT54S,601205,24551,233,UCf1AceYEJPo_nh7ltYWapyA,22,fr
-Qz_JKxvfd0,"Day Trip from Tokyo — FUJINOMIYA: Shiraito Falls, Fujisan Sengen Shrine, yakisoba and more #Japan","#japan #daytrip #fujinomiya

This August I decided to climb Mount Fuji for the 4th time. But I came to Fujinomiya the day before the climb and tried to visit the most popular and interesting places. I bought a ticket for GORIKI-kun (強力くん) — Fujinomiya City Routine Sightseeing Bus (afternoon course) which is available on weekends and holidays. And in one day I managed to visit the Mt. Fuji World Heritage Centre, Shiraito Falls, Lake Tanuki, Hitoana Fuji-ko Iseki, Fuji Milk Land, Takasago Brewery, Fujisan Hongu Sengen Taisha. I also ate yakisoba (traditional local food) and chilled in Hana-no-yu onsen. And I even witnessed a local festival on the central street! It was a very interesting and busy day. I hope you'll like this video.

INSTAGRAM: https://instagram.com/dmytro_avramenko/
TWITTER: https://twitter.com/domitorosan
TIKTOK: https://www.tiktok.com/@domitorosan",Domitorosan,2024-08-27T13:42:10Z,PT28S,725,17,2,UCcgLauCyfZstaOD3yZhItaw,19,en
857hwIf51Dw,Hautes-Alpes : le nouveau sacre de Cyprien Sarrazin vécu aux côtés de son père Laurent,"Toute l'actu dans les #hautesalpes 👉 https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/hautes-alpes

Cyprien Sarrazin s'offre un doublé de légende sur la mythique piste de Kitzbühel. Une performance historique que nous avons suivie depuis sa station du Dévoluy dans les Hautes-Alpes, aux côtés de son père, Laurent, moniteur de ski toujours en activité.

Un reportage de : Lucie Robert et Fabien Madigou

Images de la course : Eurosport

Retrouvez-nous sur notre site internet :
https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/

TikTok
https://www.tiktok.com/@france3paca

Facebook
https://www.facebook.com/france3provencealpes/
https://www.facebook.com/france3cotedazur/

Instagram
https://www.instagram.com/france3provencealpes/
https://www.instagram.com/f3cotedazur/

X
https://twitter.com/france3provence
https://twitter.com/f3cotedazur",France 3 Provence-Alpes-Côte d'Azur,2024-01-20T18:29:14Z,PT2M14S,81667,140,10,UCMPnD8fhwPMk_9XsYfc96JQ,17,fr
yWGqdp23wwM,Fujisan ❄️☃️#japan #fuji #fujisan #mountfuji,,โบว์ พากิน พาเที่ยว,2026-01-24T12:32:14Z,PT1M11S,116,8,0,UC1KC7i2ranfCwquEPjuTe2Q,22,th
cRm-3E82sYQ,Finding Mt.FUJI  #mtfuji #fujisan #japan #travel #natural #fuji #vlog #vlogs #shortvideo #shorts,,TALEISME,2025-04-21T10:28:09Z,PT44S,281,2,0,UCoZnzu9EU4yEygz77efr9nw,27,th
5U9sLrTVH_s,Partie 2 Marathon de mes vidéos (2012-2014) - Rediffusion Cyprienlive,"Rediffusion live 26/06/2025
Ma BD en précommande jusqu’au 11 juillet https://www.lepireguide.com/

Follow mon Twitch pour suivre mes lives : https://www.twitch.tv/cyprienlive/
Rejoins mon Discord : https://discord.gg/mVJW2caRdn",L'autre chaîne de Cyprien,2025-07-06T07:29:40Z,PT4H13M44S,218369,5866,364,UCi7MkdJLwvV99438YeUhZeg,24,fr
6mrkiWePsQw,Fujisan (court métrage),"Découvrez le making of du tournage : https://www.youtube.com/watch?v=Nwt9shO0aXk
Pour voir la première partie Minori : https://www.youtube.com/watch?v=7MnVflaeJPE
Écoutez la musique originale sur toutes les plateformes : https://idol-io.link/Fujisan_OS",Cyprien,2022-12-23T16:00:11Z,PT21M15S,3265581,191005,9240,UCyWqModMQlbIo8274Wh_ZsQ,1,fr
g7-0j4uFUeY,Закупился халявными электродами. Шипую резину. Акум. Fujisan 75 Ач. за 4800 р.,"Закупил по акциям на Валдберисе электроды, шипователь, аккумулятор 75 ah Fujisan.
Шипую старую резину, размеры гаража и из чего сделан,
разговор про электроды и про аккумуляторы...
Пермский край Красновишерск 4 ноября 2025",Александр Обливин,2025-11-13T05:12:02Z,PT23M26S,11702,1009,148,UCcw5GtN4Zgtf6RTp8A6EH0Q,2,ru
4lncpF4quCo,"Hotel KAN-RAKU Fujisan Gotemba | Gotemba, Japan | Hotel Review 🌟","Hotel KAN-RAKU Fujisan Gotemba
Booking details: https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1942242&hid=23134883&tag=JapanTravelNest
👉 Star Category: ⭐⭐⭐
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Hotel Address: 📍 Higashitanaka 1031-1, Gotemba, Gotemba, Japan, 412-0026
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
About Property:
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Hello and welcome! Today, we're exploring the delightful Hotel KAN-RAKU Fujisan Gotemba, a fantastic 3-star hotel in the charming city of Gotemba, Japan. For easy booking, you can scan the QR code on the screen or find a link in the description. Built in 2019, this hotel offers a modern experience with a warm, welcoming atmosphere. It's perfectly situated, just 1.2 kilometers from the city center, giving you easy access to everything Gotemba has to offer. Check-in starts at 3:00 PM, allowing you plenty of time to relax and settle in after your travels. The hotel boasts 91 well-appointed rooms, each thoughtfully designed with your comfort in mind. Whether you're traveling solo, as a couple, or with family and friends, you'll find a room that suits your needs. You can enjoy a relaxing breakfast each morning, and stay connected with complimentary Wi-Fi available throughout the hotel. Checking out is until 10:00 AM, giving you ample time to prepare for your departure. Please note that while children are welcome, extra charges may apply. At Hotel KAN-RAKU Fujisan Gotemba, we're dedicated to making your stay both comfortable and convenient. For a memorable stay in Gotemba, remember to scan the QR code to book your room at Hotel KAN-RAKU Fujisan Gotemba now!

💼 Excellent for: Corporate stays

🏨 More hotel reviews on our channel:
🏤 Hotel Livemax Osaka Hommachi: https://youtu.be/JL4VS0jzTx8
🛏️ AFP Tennoji Minami  Apartment1: https://youtu.be/Vg_H_NcHTwg
🎯 Retreat Camp Mahoroba: https://youtu.be/2vKPbkv94B4
🏖️ Itoen Hotel Inatori: https://youtu.be/0tkT6Ct76r4
🏨 Kagurazaka Retro BAR & HOTEL: https://youtu.be/UXJsRCX219c
🛏️ JR-EAST HOTEL METS UTSUNOMIYA: https://youtu.be/5WQjBBvSwNw
🏢 Hotel R9 The Yard Oota: https://youtu.be/NAkEaanJsHM
🏢 Henn na Hotel Tokyo Ginza: https://youtu.be/FfWo1rfgW0w
⭐ ハタラコリビング 秩父サテライト: https://youtu.be/XNxlASq7dSE
🏩 Centurion Hotel Residential Akas...: https://youtu.be/uPnRgDR1n88
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Audio Credit:
Artist: Casa Rosa
Track Title: Pienso Viento
Website: https://music.youtube.com
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
**DISCLAIMER**
This video is not sponsored.
The photos shown in this video are not owned by JapanTravelNest.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
JapanTravelNest ##tourism #KAN-RAKU #rooms #services #stay #travel #comfortable #hotel",Japan Travel Nest,2026-01-24T10:15:39Z,PT1M45S,0,0,0,UCIS-W1aUoLDzLt2fJxJtZKg,22,en
3UeOEAIvHs0,Núi Phú Sĩ #fujisan #leonui #富士山,,Dad Life in Japan,2024-07-28T22:35:44Z,PT37S,499,16,2,UC40Z_FH0TnIR9sGx9tzGs2Q,22,vi
FL1lz7aaykM,Leak du numéro de #Cyprien : la vérité,#cyprienlive #shorts #twitchfr #twitch #humour #cyprien,L'autre chaîne de Cyprien,2025-10-01T16:30:11Z,PT38S,493884,9929,19,UCi7MkdJLwvV99438YeUhZeg,24,fr
YVOi2EWRjPc,Travel transition Trend #transitionvideo #traveltransition #kawaguchiko #fujimountain #fujisan,,Ifky Channel『イフキ チャンネル』,2025-12-08T01:57:46Z,PT17S,1762,0,4,UCFJRA1lWyFZ4m7ldFYHIK9g,22,id
lhIWWcEwTTc,Il a effacé sa sauvegarde !,#cyprienlive #shorts #twitchfr #twitch #humour #cyprien #pokemon,L'autre chaîne de Cyprien,2025-09-02T13:38:36Z,PT1M3S,772938,17233,168,UCi7MkdJLwvV99438YeUhZeg,24,fr
F-TFLRFyxbw,Je reconstruis mon décor d’il y a 10 ans,,Cyprien,2024-10-14T14:44:23Z,PT52S,2104396,149989,754,UCyWqModMQlbIo8274Wh_ZsQ,23,fr
ZMndS4__gzU,EP.3 Fujisan ! I’m coming 🗻 #volcano #hiking #adventure #mountains,,Anutsara,2025-10-10T14:20:09Z,PT54S,1910,38,0,UCzJ3SqKdQKgeN1QSt1t3hRA,22,th
juftCkT-uno,Japan is effortlessly beautiful 😍 #japan #japantravel #japantrip #mtfuji #fujisan #shinkansen,,Ken & Friends,2024-12-19T13:27:15Z,PT12S,2141,28,0,UC3CgREKUpa0W8-RyjhvcDzw,19,ja
k8aR2PK3m3o,"J'ai Eu Des Nouvelles de Norman, Squeezie & Cyprien (Et Elles Sont Très Surprenantes)","j'avoue j'ai été surpris par Norman, Squeezie & Cyprien

QUE SONT DEVENUS CES YOUTUBERS? (Norman, Vincent Macario, Amandine Du 38...) - Partie 2: https://www.youtube.com/watch?v=E1RwB7ebdeI
La Réalité Derrière Les Business (Cachés?) Des YOUTUBERS: https://www.youtube.com/watch?v=be_KOnJ4eLo

Ma chaine twitch: www.twitch.tv/sirgibsy
Mon compte instagram: https://www.instagram.com/sirgibsyyt
Ma chaine principale: @SirGibsy 
Ma chaine secondaire: @sirgisby

#norman #squeezie #cyprien",Le Fourre-Tout De Gibsy,2024-09-08T14:19:24Z,PT13M46S,181839,10056,298,UCjNEJ7ym3cj82EI9OmG0lnA,24,fr
y_C41NYdcAM,Beautiful Fujisan japan #relaxingmusic #fujisan #travel,,ทีม ช่างทำแบบ Japan ,2025-04-06T22:26:49Z,PT16S,1171,12,1,UCgF1jZDLIKQn5SmpXJZbn7Q,22,th
uO9rjL1DLos,"#Fujisan, Fujiyoshida",,faeline,2024-07-20T16:15:43Z,PT6S,425,5,0,UC-H7ligpUC7Vr9hh1D7EH7A,22,en
6qIxMNQUzmY,How to see Mount Fuji? #mountfuji #fuji #fujisan,,Vanessa & Alex Adventures,2025-05-24T11:51:00Z,PT1M2S,260,2,0,UC5-OObDh1KWikt4VVKreDlg,22,en
p9Mq2aI6oc0,CYPRIEN - Conjugaison en français,"#Cyprien
#CyprienGaming
#CyprienVidéo
#HumourFrançais
#CyprienLive
#YouTubeFrançais
#SketchCyprien
#CyprienComédie
#TeamCyprien
#FrenchYouTuber",Cyprien Shorts,2024-07-03T16:19:32Z,PT27S,28628,1754,14,UC1yD9KcypXMGXEleeZpQwlg,22,fr
jHHaDIfLFt8,Mt. Fuji Japan #japan #fujisan #japantour #japanexperience #mtfujilive,,Gorkhali991,2024-08-31T09:40:06Z,PT18S,520,1,0,UCo2LkoWzFM9h-NvR942SpiA,22,ja
VI1DXpq0n_Y,Fuji Shibazakura Fest 2024 #fujisan #shibazakura #travel #japan #tour,,Jay D Beloved,2024-05-09T04:52:45Z,PT17S,490,5,2,UC-m2Y_uzzwWuhHtiv4KQ2Qw,22,fil
pklM2q6RTjg,"Le Japon, Cyprien raconte son premier voyage.",#cyprienlive #shorts #twitchfr #twitch #humour #cyprien,L'autre chaîne de Cyprien,2025-03-26T18:00:40Z,PT1M23S,1051509,39775,136,UCi7MkdJLwvV99438YeUhZeg,24,fr
